user_id,name,email,signup_date,is_active,unsubscribe_date
U00001,Apollo Sousa,samuel32@example.net,2024-11-13,True,
U00002,Ísis Borges,bandrade@example.org,2023-09-23,True,
U00003,Thiago Pereira,novaismiguel@example.net,2023-12-22,True,
U00004,Dra. Mariah Câmara,rpastor@example.org,2024-11-21,True,
U00005,Otávio Fernandes,leonardo35@example.org,2025-02-14,True,
U00006,Aylla Fogaça,vinicius07@example.net,2023-09-15,True,
U00007,Yuri da Rocha,matheus10@example.net,2023-10-10,False,2024-07-30
U00008,Bruno da Conceição,garciaagatha@example.com,2023-12-29,True,
U00009,Sr. Léo Fogaça,vitorsampaio@example.net,2024-11-10,True,
U00010,Enzo Gabriel Nascimento,luanmartins@example.com,2024-11-20,True,
U00011,Hellena Rodrigues,daniel30@example.com,2024-01-31,True,
U00012,Benício Cunha,otavio76@example.net,2024-05-12,True,
U00013,João Carvalho,stephanyda-luz@example.net,2024-06-26,True,
U00014,Maria Liz Fonseca,joao-guilhermemoraes@example.com,2024-10-01,True,
U00015,Daniel Cassiano,laviniapeixoto@example.org,2023-09-14,True,
U00016,Nina Moura,antonio18@example.com,2024-04-29,True,
U00017,Manuela Camargo,luara27@example.org,2025-02-21,True,
U00018,Sra. Sarah Teixeira,nataliacaldeira@example.net,2025-01-16,True,
U00019,Fernanda Cassiano,lorenzo88@example.org,2024-02-22,False,2025-07-02
U00020,Dr. Antony Camargo,ana-liz30@example.org,2024-10-12,True,
U00021,Bryan Siqueira,wazevedo@example.net,2025-05-17,False,2025-06-14
U00022,Davi Lucas Ribeiro,knovaes@example.com,2025-02-19,True,
U00023,Mariana Cunha,ana-liviaguerra@example.net,2024-08-18,True,
U00024,Dr. Valentim Machado,da-cruzrael@example.org,2024-11-21,True,
U00025,Heloísa Pastor,anthony-gabrielbarbosa@example.net,2024-03-24,False,2024-04-09
U00026,Ian Azevedo,fariasdiego@example.net,2024-11-06,True,
U00027,Ryan Cunha,maria-juliada-cruz@example.com,2024-01-06,True,
U00028,Esther Brito,ribeirolorena@example.com,2025-03-23,True,
U00029,Ana Júlia Rocha,araujoisis@example.net,2024-05-29,False,2025-04-14
U00030,Josué Correia,stellamachado@example.org,2024-03-25,True,
U00031,Ravi da Cruz,macedoisis@example.org,2024-05-28,False,2024-10-17
U00032,Ágatha Albuquerque,sarenan@example.org,2023-08-13,True,
U00033,Rafaela Cunha,karaujo@example.com,2024-05-16,True,
U00034,Rafael da Paz,usampaio@example.net,2023-07-07,False,2024-05-05
U00035,Sra. Daniela Correia,pedro-henrique09@example.net,2024-11-30,True,
U00036,Levi Araújo,pachecomaria-liz@example.net,2024-08-29,True,
U00037,Benjamin Moraes,cirinodavi-miguel@example.net,2025-06-18,False,2025-07-01
U00038,Isabela Guerra,nunesthales@example.net,2023-08-27,True,
U00039,Anna Liz Leão,vicente35@example.org,2024-10-09,False,2024-10-24
U00040,Caroline Rios,maria-cecilia51@example.org,2024-01-27,True,
U00041,Beatriz Barbosa,nataliada-luz@example.org,2024-06-25,True,
U00042,Sr. Joaquim Freitas,levi78@example.net,2025-06-29,True,
U00043,Vitória Albuquerque,gustavo-henrique24@example.org,2024-02-25,True,
U00044,Yuri Cassiano,alexia93@example.net,2025-05-26,True,
U00045,João Montenegro,dda-cunha@example.org,2024-03-28,True,
U00046,Kamilly Aparecida,fariasjose-pedro@example.net,2024-11-09,True,
U00047,Pedro Miguel Novaes,anovais@example.org,2024-01-25,True,
U00048,Srta. Ísis Andrade,juan62@example.org,2023-09-02,True,
U00049,Sr. Luiz Henrique Costela,gustavofogaca@example.net,2024-03-01,True,
U00050,Daniela da Costa,luiz-gustavojesus@example.org,2025-05-22,True,
U00051,Sra. Maria Sophia Rios,vitorcastro@example.net,2023-11-22,True,
U00052,Ana Carolina Melo,murilomarques@example.com,2023-09-27,True,
U00053,Henry Gabriel Alves,isabellyfarias@example.com,2024-02-27,True,
U00054,Luiz Fernando Ramos,irocha@example.com,2025-05-07,False,2025-05-13
U00055,Danilo da Luz,viniciusandrade@example.org,2025-07-04,True,
U00056,Manuella Siqueira,luiza98@example.org,2024-10-11,True,
U00057,Esther da Cunha,santosluiza@example.org,2024-04-29,True,
U00058,Fernanda Fonseca,qazevedo@example.com,2024-08-12,True,
U00059,Sr. Kaique Montenegro,julia56@example.net,2024-10-31,True,
U00060,Carolina Correia,yrios@example.net,2024-02-20,True,
U00061,Liz Guerra,da-rosaallana@example.org,2025-02-05,False,2025-03-11
U00062,Luna Martins,rmacedo@example.org,2024-06-03,True,
U00063,Eloá Ribeiro,da-pazolivia@example.net,2024-08-05,True,
U00064,Lívia Borges,ana-luizacamara@example.org,2024-11-08,True,
U00065,Joaquim Melo,marqueskamilly@example.net,2023-10-28,False,2023-11-16
U00066,Matheus Monteiro,jda-cruz@example.net,2024-09-24,True,
U00067,Cauê Vasconcelos,lcamara@example.net,2024-12-20,True,
U00068,Ana Julia Novais,joaquimmarques@example.org,2024-08-10,True,
U00069,Vitória Novais,luisa98@example.com,2025-03-19,True,
U00070,Melissa Castro,qmachado@example.org,2025-04-10,True,
U00071,Kamilly Vargas,ppires@example.com,2025-04-18,True,
U00072,Sra. Isabela da Mata,antonella81@example.org,2024-06-11,False,2024-07-11
U00073,Daniela Santos,davi-lucasleao@example.com,2023-10-30,False,2024-04-27
U00074,Nina Leão,costelalaura@example.com,2024-03-18,True,
U00075,Alícia Teixeira,amendes@example.com,2025-06-07,True,
U00076,Mariah Nascimento,mariahcamara@example.com,2024-02-22,True,
U00077,Mathias Fernandes,ksilveira@example.com,2024-06-08,False,2025-06-20
U00078,Vitor Alves,kpastor@example.net,2025-06-18,True,
U00079,Paulo Carvalho,dcirino@example.com,2023-07-26,True,
U00080,Sr. Rafael Duarte,gabrielly46@example.com,2024-04-25,True,
U00081,Ravy Almeida,ferreirapietro@example.net,2025-04-14,True,
U00082,Ana Cecília Sá,da-cruzmurilo@example.org,2023-08-27,True,
U00083,Isaque Cardoso,hrios@example.net,2024-10-30,True,
U00084,Sra. Maria Eduarda Cavalcante,vasconcelosluan@example.com,2023-12-21,False,2024-12-17
U00085,Amanda das Neves,tgoncalves@example.org,2023-09-27,True,
U00086,Isabelly Caldeira,isaque90@example.com,2023-09-02,True,
U00087,Maria Eduarda Azevedo,apollo67@example.org,2024-08-22,False,2025-02-04
U00088,Dr. Eduardo Lopes,rebecarezende@example.com,2024-06-06,True,
